144,Campus Field,Fairfield,CT,6825,US,America/New_York,NULL,NULL,82.02420044,3334,1993,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
145,Canvas Stadium,Fort Collins,CO,80521,US,America/Denver,NULL,NULL,1528.4,36500,2017,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
146,Caparso Field,Paxton,MA,1612,US,NULL,NULL,NULL,NULL,1000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
147,Cardinal Stadium (DC),Washington,DC,20549,US,NULL,NULL,NULL,NULL,3500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
148,Carl Smith Stadium,Wise,VA,24293,US,NULL,NULL,NULL,NULL,3900,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
149,Carl W. Burt Memorial Stadium,North Manchester,IN,46962,US,NULL,NULL,NULL,NULL,4500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
150,Carnie Smith Stadium,Pittsburg,KS,66762,US,NULL,NULL,NULL,NULL,8343,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
151,Carpenter-Haygood Stadium,Arkadelphia,AR,71998,US,NULL,NULL,NULL,NULL,9600,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
152,Carrier Dome,Syracuse,NY,13244,US,America/New_York,NULL,NULL,162.6989746,49057,1980,0,1,2024-04-23 01:47:52,2024-04-23 01:47:52
153,Carson Park,Eau Claire,WI,54720,US,NULL,NULL,NULL,NULL,6500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
154,Carter-Finley Stadium,Raleigh,NC,27695,US,America/New_York,NULL,NULL,117.0089951,58000,1966,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
155,Case Field,Cleveland,OH,85099,US,America/New_York,NULL,NULL,-81.603639,2400,2005,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
156,CAU Panther Stadium,Atlanta,GA,30315,US,NULL,NULL,NULL,NULL,5000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
157,Cebe Ross Field,Buckhannon,WV,26201,US,NULL,NULL,NULL,NULL,3000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
158,Centennial Bank Stadium,Jonesboro,AR,72404,US,America/Chicago,NULL,NULL,89.52690887,30382,1974,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
159,CenturyLink Field,Seattle,WA,98134,US,America/Los_Angeles,NULL,NULL,5.2,69000,2002,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
160,Chalmers Field,Dubuque,IA,50118,US,NULL,NULL,NULL,NULL,4000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
161,Charles A. Gaetano Stadium,Utica,NY,13501,US,NULL,NULL,NULL,NULL,1200,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
162,Charles A. Henry Field,Hiram,OH,44234,US,NULL,NULL,NULL,NULL,2500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
163,Charles D. Lindberg Stadium,Rock Island,IL,52801,US,NULL,NULL,NULL,NULL,1800,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
164,Charles L. Currier Memorial Field,Plymouth,NH,NULL,US,NULL,NULL,NULL,NULL,3000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
165,Charles Lee Field at Samford Stadium,Montgomery,AL,NULL,US,NULL,NULL,NULL,NULL,2500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
166,Charlie W. Johnson Stadium,Columbia,SC,29201,US,NULL,NULL,NULL,NULL,10000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
167,Chase Field,Phoenix,AZ,85004,US,America/Phoenix,NULL,NULL,323.2064514,0,1998,0,1,2024-04-23 01:47:52,2024-04-23 01:47:52
168,Chet Anderson Stadium,Bemidji,MN,56601,US,NULL,NULL,NULL,NULL,3500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
169,Children's Health Stadium,Prosper,TX,75078,US,NULL,NULL,NULL,NULL,12000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
